Cidades,Nome da cidade,Visualizações intencionais,Porcentagem visualizada média (%),Continuaram assistindo (%),Visualizações,Tempo de exibição (horas),Duração média da visualização
0x94d8cc949bf3cf61:0xef02eadd26842207,"Itajaí - Volta de Cima, Itajaí - SC, Brasil",11,83.09,68.75,11,0.0889,0:00:29
0x94de94ec45c735ad:0xd528660baaf1e754,"Jaraguá do Sul, SC, Brasil",11,81.5,100,15,0.0921,0:00:30
0x94f6923af74e96dd:0xb4b8eeda942aae07,"Puerto Iguazú, Misiones, Argentina",11,29.88,78.57,14,0.0354,0:00:11
0x99007e82d9236f:0xa9241871d369007a,"Petrópolis - Cascatinha, Petrópolis - RJ, Brasil",11,86.23,100,14,0.0975,0:00:31
0xb1a7947c2e06c7:0x76454399f628aa6f,"Gov. Valadares, MG, Brasil",11,81.61,91.67,11,0.0873,0:00:28
0x38ae8b0cc379e9c3:0xa5a9323b4aa5cb98,"Toshkent, Uzbequistão",10,45,76.92,10,0.0437,0:00:15
0x4786c1493f1275e7:0x3cffcd13c6740e8d,"Milão, Itália",10,88.19,83.33,10,0.0857,0:00:30
0x92c55fa57838978f:0x9b2552d5a3c79685,"Imperatriz - Camaçari, Imperatriz - MA, Brasil",10,106.68,,16,0.1096,0:00:39
0x94c7dba833b7ed7d:0xeff01d8a3c639a61,"Rio Claro, SP, Brasil",10,66.88,62.5,17,0.0715,0:00:24
0x94c9c32c478c87cf:0xfb00e9b3715381fe,"Poços de Caldas, MG, Brasil",10,82.57,83.33,18,0.0855,0:00:30
0x94cf004a6c29542f:0x89d7d06ffc024cbf,"Carapicuíba - Vila Dirce, Carapicuíba - SP, Brasil",10,105.65,90.91,10,0.1027,0:00:36
0x94cf0605de97e6bd:0x5312706bb5ec989f,"Itapevi, SP, Brasil",10,122.95,90.91,20,0.1267,0:00:45
0x94dce81bb32f665f:0x71a27a3f0e78b715,"Colombo, PR, Brasil",10,85.66,90.91,10,0.0833,0:00:29
0x94f3d41ec7f74d61:0xebac32ece05a5fbc,"Cascavel, PR, Brasil",10,91.28,76.92,15,0.0952,0:00:33
0x94f690ebae530a43:0x21979473b4c4a952,"Foz do Iguaçu, PR, Brasil",10,72.78,90.91,10,0.0708,0:00:25
0x95104991ad796447:0x99bab4aec1bd644f,"Pelotas - Princesa, Pelotas - RS, Brasil",10,56.03,47.62,21,0.0613,0:00:20
0x996454fda3e67b:0x7a3f4c17541603a3,"São João de Meriti, RJ, Brasil",10,66.27,100,10,0.0644,0:00:23
0x9985c034c8b985:0x262ee793dfcc1775,"Niterói, RJ, Brasil",10,69.21,71.43,14,0.073,0:00:25
0xb817b2995d6bf1:0xf69aa51e4ff904b1,"Vila Velha, ES, Brasil",10,70.39,66.67,16,0.0736,0:00:26
