"Date","Total Viewers","New Viewers","Returning Viewers"
"8 de outubro","1493","1446","47"
"9 de outubro","4146","4021","125"
"10 de outubro","2889","2581","308"
"11 de outubro","1542","1237","305"
"12 de outubro","1730","1288","442"
"13 de outubro","907","693","214"
"14 de outubro","477","328","149"
"15 de outubro","2507","1953","554"
"16 de outubro","1413","922","491"
"17 de outubro","3074","1919","1155"
"18 de outubro","2046","1298","748"
"19 de outubro","2544","1506","1038"
"20 de outubro","1632","885","747"
"21 de outubro","1059","566","493"
"22 de outubro","902","530","372"
"23 de outubro","505","298","207"
"24 de outubro","458","239","219"
"25 de outubro","413","214","199"
"26 de outubro","344","200","144"
"27 de outubro","644","282","362"
"28 de outubro","256","107","149"
"29 de outubro","135","61","74"
"30 de outubro","233","122","111"
"31 de outubro","215","111","104"
"1 de novembro","168","85","83"
"2 de novembro","181","91","90"
"3 de novembro","202","114","88"
"4 de novembro","165","83","82"
"5 de novembro","128","68","60"
"6 de novembro","167","89","78"
"7 de novembro","128","74","54"
"8 de novembro","121","70","51"
"9 de novembro","85","45","40"
"10 de novembro","106","68","38"
"11 de novembro","114","80","34"
"12 de novembro","97","64","33"
"13 de novembro","131","82","49"
"14 de novembro","67","36","31"
"15 de novembro","62","36","26"
"16 de novembro","52","32","20"
"17 de novembro","56","35","21"
"18 de novembro","47","28","19"
"19 de novembro","50","42","8"
"20 de novembro","58","45","13"
"21 de novembro","undefined","0","0"
"22 de novembro","undefined","0","0"
