Data,Status da inscrição,Visualizações intencionais
2025-09-12,Inscrito,0
2025-09-13,Inscrito,0
2025-09-14,Inscrito,0
2025-09-15,Inscrito,0
2025-09-16,Inscrito,0
2025-09-17,Inscrito,0
2025-09-18,Inscrito,0
2025-09-19,Inscrito,0
2025-09-20,Inscrito,0
2025-09-21,Inscrito,0
2025-09-22,Inscrito,0
2025-09-23,Inscrito,0
2025-09-24,Inscrito,0
2025-09-25,Inscrito,0
2025-09-26,Inscrito,0
2025-09-27,Inscrito,0
2025-09-28,Inscrito,0
2025-09-29,Inscrito,0
2025-09-30,Inscrito,0
2025-10-01,Inscrito,0
2025-10-02,Inscrito,0
2025-10-03,Inscrito,0
2025-10-04,Inscrito,0
2025-10-05,Inscrito,0
2025-10-06,Inscrito,0
2025-10-07,Inscrito,0
2025-10-08,Inscrito,0
2025-10-09,Inscrito,0
2025-10-10,Inscrito,1
2025-10-11,Inscrito,5
2025-10-12,Inscrito,15
2025-10-13,Inscrito,4
2025-10-14,Inscrito,7
2025-10-15,Inscrito,27
2025-10-16,Inscrito,18
2025-10-17,Inscrito,35
2025-10-18,Inscrito,65
2025-10-19,Inscrito,63
2025-10-20,Inscrito,60
2025-10-21,Inscrito,11
2025-10-22,Inscrito,1
2025-10-23,Inscrito,12
2025-10-24,Inscrito,0
2025-10-25,Inscrito,1
2025-10-26,Inscrito,9
2025-10-27,Inscrito,13
2025-10-28,Inscrito,3
2025-10-29,Inscrito,0
2025-10-30,Inscrito,0
2025-10-31,Inscrito,0
2025-11-01,Inscrito,0
2025-11-02,Inscrito,1
2025-11-03,Inscrito,0
2025-11-04,Inscrito,0
2025-11-05,Inscrito,0
2025-11-06,Inscrito,0
2025-11-07,Inscrito,0
2025-11-08,Inscrito,0
2025-11-09,Inscrito,0
2025-11-10,Inscrito,0
2025-11-11,Inscrito,0
2025-11-12,Inscrito,0
2025-11-13,Inscrito,0
2024-11-14,Não inscrito,0
2024-11-15,Não inscrito,0
2024-11-16,Não inscrito,0
2024-11-17,Não inscrito,0
2024-11-18,Não inscrito,0
2024-11-19,Não inscrito,0
2024-11-20,Não inscrito,0
2024-11-21,Não inscrito,0
2024-11-22,Não inscrito,0
2024-11-23,Não inscrito,0
2024-11-24,Não inscrito,0
2024-11-25,Não inscrito,0
2024-11-26,Não inscrito,0
2024-11-27,Não inscrito,0
2024-11-28,Não inscrito,0
2024-11-29,Não inscrito,0
2024-11-30,Não inscrito,0
2024-12-01,Não inscrito,0
