Data,Espectadores novos e recorrentes,Visualizações intencionais
2025-08-15,Novos espectadores,0
2025-08-16,Novos espectadores,0
2025-08-17,Novos espectadores,0
2025-08-18,Novos espectadores,0
2025-08-19,Novos espectadores,0
2025-08-20,Novos espectadores,0
2025-08-21,Novos espectadores,0
2025-08-22,Novos espectadores,0
2025-08-23,Novos espectadores,0
2025-08-24,Novos espectadores,0
2025-08-25,Novos espectadores,0
2025-08-26,Novos espectadores,0
2025-08-27,Novos espectadores,0
2025-08-28,Novos espectadores,0
2025-08-29,Novos espectadores,0
2025-08-30,Novos espectadores,0
2025-08-31,Novos espectadores,0
2025-09-01,Novos espectadores,0
2025-09-02,Novos espectadores,0
2025-09-03,Novos espectadores,0
2025-09-04,Novos espectadores,0
2025-09-05,Novos espectadores,0
2025-09-06,Novos espectadores,0
2025-09-07,Novos espectadores,0
2025-09-08,Novos espectadores,0
2025-09-09,Novos espectadores,0
2025-09-10,Novos espectadores,0
2025-09-11,Novos espectadores,0
2025-09-12,Novos espectadores,0
2025-09-13,Novos espectadores,0
2025-09-14,Novos espectadores,0
2025-09-15,Novos espectadores,0
2025-09-16,Novos espectadores,0
2025-09-17,Novos espectadores,0
2025-09-18,Novos espectadores,0
2025-09-19,Novos espectadores,0
2025-09-20,Novos espectadores,0
2025-09-21,Novos espectadores,0
2025-09-22,Novos espectadores,0
2025-09-23,Novos espectadores,0
2025-09-24,Novos espectadores,0
2025-09-25,Novos espectadores,0
2025-09-26,Novos espectadores,0
2025-09-27,Novos espectadores,0
2025-09-28,Novos espectadores,0
2025-09-29,Novos espectadores,0
2025-09-30,Novos espectadores,0
2025-10-01,Novos espectadores,0
2025-10-02,Novos espectadores,0
2025-10-03,Novos espectadores,0
2025-10-04,Novos espectadores,0
2025-10-05,Novos espectadores,0
2025-10-06,Novos espectadores,0
2025-10-07,Novos espectadores,0
2025-10-08,Novos espectadores,1122
2025-10-09,Novos espectadores,1176
2025-10-10,Novos espectadores,1108
2025-10-11,Novos espectadores,1965
2025-10-12,Novos espectadores,1142
2025-10-13,Novos espectadores,1814
2025-10-14,Novos espectadores,1494
2025-10-15,Novos espectadores,3215
2025-10-16,Novos espectadores,600
2025-10-17,Novos espectadores,2128
2025-10-18,Novos espectadores,4461
2025-10-19,Novos espectadores,2309
2025-10-20,Novos espectadores,1320
2025-10-21,Novos espectadores,798
2025-10-22,Novos espectadores,418
2025-10-23,Novos espectadores,131
2025-10-24,Novos espectadores,9
2025-10-25,Novos espectadores,8
2025-10-26,Novos espectadores,8
2025-10-27,Novos espectadores,11
2025-10-28,Novos espectadores,7
2025-10-29,Novos espectadores,3
2025-10-30,Novos espectadores,4
